Arrive Date,Depart Date,Location,Event Name,Attendance,Phone Number,Website
08/08/2020,08/09/2020,Palmer Events Center,2020 City-Wide Vintage Sale,4000,,www.citywidegaragesale.com
10/24/2020,10/25/2020,Palmer Events Center,2020 City-Wide Vintage Sale,4000,,ww.citywidevintagesale.com
11/28/2020,11/29/2020,Palmer Events Center,2020 City-Wide Garage Sale,4000,,www.citywidevintageesale.com
05/14/2020,05/17/2020,Palmer Events Center,2020 Austin Record Convention,4200,,www.austinrecords.com
10/16/2020,10/18/2020,Palmer Events Center,2020 Austin Record Convention,4200,,www.austinrecords.com
09/25/2020,09/27/2020,Palmer Events Center,2020 Capital of Texas QuiltFest,4500,,www.captxquiltfest.org
05/30/2020,05/31/2020,Palmer Events Center,2020 Promenade Pops,5000,,www.austinsymphony.org
12/29/2020,12/30/2020,Palmer Events Center,2020 New Year's Pops,5000,,http://www.austinsymphony.org
07/25/2020,07/26/2020,Palmer Events Center,2020 Classic Game Fest,7000,,www.classicgamefest.com
08/01/2020,08/02/2020,Palmer Events Center,POP Cats 2020,7000,,www.popcats.org
11/05/2020,11/08/2020,Palmer Events Center,2020 Settlement Club Charity Garage & Estate Sale,7770,,www.settlementhome.org
06/18/2020,06/21/2020,Palmer Events Center,2020 International Gem and Jewelry Show,8000,,www.intergem.com
12/12/2020,12/13/2020,Palmer Events Center,2020 Coats for Kids,8000,,www.jlaustin.org
01/31/2020,02/02/2020,Palmer Events Center,2020 Star of Texas Tattoo Arts Revival,8700,,www.golivefast.com
02/20/2020,02/22/2020,Palmer Events Center,2020 AE Regional Science Festival,10000,,www.sciencefest.org
11/18/2020,11/22/2020,Palmer Events Center,2020 A Christmas Affair,26000,,www.jlaustin.org
02/14/2020,02/15/2020,Palmer Events Center,2020 Austin Marathon Expo,30000,,https://youraustinmarathon.com/expo/
04/03/2020,04/05/2020,Palmer Events Center,2020 Statesman Cap 10K Expo,30000,,www.cap10k.com
